Name,Level,Type,Rarity,Attack,Defense,Armor,Damage,HP,Stamina,Enhancements
Porifor Armor,5850,Armor,Unique,3563,0,0,8147,0,,
Porifor Shield,5850,Shield,Unique,3513,0,0,8197,0,,
Starbane Shield,5850,Shield,Super Elite,0,0,10,10,0,,
Starbane Sword,5850,Weapon,Super Elite,0,0,10,10,0,,
Gentathor Gloves,5830,Gloves,Rare,8168,3500,0,0,0,,
Gentathor Ring,5830,Ring,Rare,8118,3550,0,0,0,,
Tethoths Rune,5826,Rune,Common,0,0,4661,0,6991,,
Boots of Jalanath,5825,Boots,Unique,3498,0,0,8162,0,,
Shield of Jalanath,5825,Shield,Unique,3548,0,0,8112,0,,
Amulet of Heinio,5819,Amulet,Rare,0,8152,0,3494,0,,
Ring of Heinio,5819,Ring,Rare,0,8152,0,3494,0,,
Rune of Ventaroc,5801,Rune,Common,8121,3481,0,0,0,,
Dagger of Welroth,5800,Weapon,Unique,0,0,3483,0,8127,,
Ring of Welroth,5800,Ring,Unique,0,0,3483,0,8127,,
Gloves of Raddagor,5780,Gloves,Rare,8097,0,0,3471,0,,
Helm of Raddagor,5780,Helmet,Rare,8047,0,0,3521,0,,
Cuirass of Bilrath,5776,Helmet,Common,0,6931,4621,0,0,,
Bakab Battler Axe,5775,Weapon,Unique,8142,0,0,3418,0,,
Bakab Battler Buckler,5775,Shield,Unique,8042,0,0,3518,0,,
Bakab Battler Cuirass,5775,Armor,Unique,8092,0,0,3468,0,,
Slug Chomper Slime Gloves,5775,Gloves,Crystalline (Non-Repairable),3510,0,8190,0,0,,
Slug Chomper Slime Ring,5775,Ring,Crystalline (Non-Repairable),3460,0,8240,0,0,,
Slug Chomper Slime Rune,5775,Rune,Crystalline (Non-Repairable),3560,0,8140,0,0,,
Mariners Helm,5761,Helmet,Rare,0,0,3459,0,8071,,
Mariners Rune,5761,Rune,Rare,0,0,3509,0,8021,,
Porifor Armor,5850,Armor,Unique,3563,0,0,8147,0,,
Porifor Shield,5850,Shield,Unique,3513,0,0,8197,0,,
Starbane Shield,5850,Shield,Super Elite,0,0,10,10,0,,
Starbane Sword,5850,Weapon,Super Elite,0,0,10,10,0,,
Gentathor Gloves,5830,Gloves,Rare,8168,3500,0,0,0,,
Gentathor Ring,5830,Ring,Rare,8118,3550,0,0,0,,
Tethoths Rune,5826,Rune,Common,0,0,4661,0,6991,,
Boots of Jalanath,5825,Boots,Unique,3498,0,0,8162,0,,
Shield of Jalanath,5825,Shield,Unique,3548,0,0,8112,0,,
Amulet of Heinio,5819,Amulet,Rare,0,8152,0,3494,0,,
Ring of Heinio,5819,Ring,Rare,0,8152,0,3494,0,,
Rune of Ventaroc,5801,Rune,Common,8121,3481,0,0,0,,
Dagger of Welroth,5800,Weapon,Unique,0,0,3483,0,8127,,
Ring of Welroth,5800,Ring,Unique,0,0,3483,0,8127,,
Gloves of Raddagor,5780,Gloves,Rare,8097,0,0,3471,0,,
Helm of Raddagor,5780,Helmet,Rare,8047,0,0,3521,0,,
Cuirass of Bilrath,5776,Helmet,Common,0,6931,4621,0,0,,
Bakab Battler Axe,5775,Weapon,Unique,8142,0,0,3418,0,,
Bakab Battler Buckler,5775,Shield,Unique,8042,0,0,3518,0,,
Bakab Battler Cuirass,5775,Armor,Unique,8092,0,0,3468,0,,
